Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution
186,"The numbers 2, 4, 6, 8, ............, 98, 100 are multiplied
together. The number of zeros at the end of the
product must be",10,11,12,13,c,"N = 2 × 4 × 6 × 8 × ......... × 98 × 100
= 250 × (1 × 2 × 3 × .......... × 49 × 50) = 250 × 50!
Clearly, the highest power of 2 in N is much higher than
that of 5.
\ Number of zeros in N = Highest power of 5 in N =
2
  
50 50
 
+ = +=102 12.
5
5"
187,"Let S be the set of prime numbers greater than
or equal to 2 and less than",,,,,a,"Clearly, the list of prime numbers from 2 to 99 has only
1 multiple of 2 and only 1 multiple of 5.
So, number of zeros in the product = 1."
100,"Multiply all the
elements of S. With how many consecutive zeros
will the product end?",1,4,5,10,a,"– 95 ÷ 19 =
– 95
19
= – 5.
127512 18216 2024 1012
=
=
=
414 7 414 46 23
×
44
23 1012
92
92
92
×"
188,"Find the number of zeros at the end of the result
3 × 6 × 9 × 12 × 15 × ......... × 99 ×",,,,,c,"Let N = 3 × 6 × 9 × 12 ×.......... × 102 = 334 × (1 × 2 × 3
× 4 ×.......... × 34) = 334 × 34!
Clearly, highest power of 2 in 34 ! is much greater than
that of 5.
So, number of zeros in N = Highest power of 5 in 34! =
2
  
34 34
 
+ = +=61 7.
5
5"
102,,4,6,7,10,a,"8899 – 6644 – 3322 = x – 1122 ⇒ 2255 – 3322 + 1122 = x
⇒ x = 3377 – 3322 = 55."
189,The unit's digit of 132003 is,1,3,7,9,c,"34 gives unit digit 1. So, (34)500 gives unit digit 1.
And, 33 gives unit digit 7.
\ (13)2003 gives unit digit = (1 × 7) = 7."
190,"The digit in the unit's place of the number 12399
is (I.A.M., 2007)",1,4,7,8,c,"34 gives unit digit 1. So, (34)24 gives unit digit 1.
And, 33 gives unit digit 7.
\ 399 = (34)24 × 33 gives unit digit (1 × 7) i.e. 7."
191,"Match List I with List II and select the correct answer:
List I
List II
(Product)
A. (1827)16
B. (2153)19
C. (5129)21
A B C
(Digit in the unit's place)
(1) 1
(2) 3
(3) 5
(4) 7
(5) 9
A B C","1 4 3
A B C","4 2 3
A B C",1 4 5,4 2 5,c,"(A) 74 gives unit digit 1. So, 716 = (74)4 gives unit digit 1.
\ (1827)16 gives unit digit 1. So, A → (1).
(B) 34 gives unit digit 1. So, (34)4 gives unit digit 1.
\ 319 = 316 × 33 gives unit digit = (1 × 7) = 7.
\ (2153)19 gives unit digit 7. So, B → (4).
(C) 92 gives unit digit 1. So, (92)10 gives unit digit 1.
\ 921 = (920 × 9) gives unit digit = (1 × 9) = 9.
\ (5129)21 gives unit digit = 9. So, C → (5).
Hence,
A BC is the correct result.
14 5"
192,"The digit in the unit's place of the number (67)25 – 1
must be",0,6,8,None of these,b,"Unit digit of (67)25 = Unit digit of 725.
Unit digit of 74 is 1 and so the unit digit of (74)6 is 1.
\ Unit digit of 725 = (1 × 7) = 7.
Hence, the unit digit of (725 – 1) is (7 – 1) = 6."
193,"The unit's digit in the product 274 × 318 × 577 × 313
is",2,3,4,5,a,"Unit digit in the given product = Unit digit of (4 × 8 × 7
× 3), which is 2."
194,"In the product 459 × 46 × 28* × 484, the digit in the
unit place is",,,,,a,"Unit digit in the given product = 8.
Unit digit of (9 × 6 × x × 4) is 8. So, x = 3."
8,The digit to come in place of * is,3,5,7,None of these,c,Required number = 30005.
195,"The digit in the unit place of the number represented
by (795 – 358) is",0,4,6,7,b,"Unit digit of 74 is 1. So, the unit digit of (74)23 is 1.
\ Unit digit of 795 = Unit digit of (792 × 73) = (1 × 3) = 3.
Unit digit of 34 is 1. So, the unit digit of (34)14 is 1.
\ Unit digit of 358 = Unit digit of (356 × 32) = (1 × 9) = 9.
Hence, the unit digit of (795 – 358) = (13 – 9) = 4."
196,"Unit's digit in (784)126 + (784)127 is
(A.A.O. Exam, 2010)NUMBER SYSTEM
23",0,4,6,8,a,"Unit digit of 42 is 6. So, unit digit in (42)63 is 6.
\ Unit digit of (784)126 = Unit digit in 4126, which is 6.
Unit digit in 4127
= Unit digit in (4126 × 4) = Unit
digit in (6 × 4), which is 4.
\ Unit digit in (784)127 is 4.
Hence, unit digit of {(784)126 + (784)127} = Unit digit of
(6 + 4) = Unit digit of 10, which is 0."
197,"The digit in the unit's place of [(251)98 + (21)29 –
(106)100 + (705)35 – 164 + 259] is",1,4,5,6,b,"Unit digit in [(251)98 + (21)29 – (106)100 + (705)35 – (16)4 +
259] = Unit digit in (1 + 1 – 6 + 5 – 6 + 9) = 4."
198,"The digit in the unit's place of the product (2464)1793
× (615)317 × (131)491 is",0,2,3,5,a,"Unit digit in the given product
= Unit digit in (41793 × 5317 × 1491)
Unit digit in 42 is 6 and so the unit digit in (42)896 is 6.
\ Unit digit of 41793 = Unit digit in (6 × 4) = Unit digit
in 24, which is 4.
Unit digit in 5317 is 5 and the unit digit in 1491 is 1.
\ Unit digit in the given product = Unit digit in (4 × 5
× 1), which is 0."
199,"If x is an even number, then x4n, where n is a positive
integer, will always have",zero in the unit's place,6 in the unit's place,either 0 or 6 in the unit's place,None of these,c,"Let x = 2y. Then, x4n = (2y)4n = {(2y)4}n = (16 y4)n.
y = 1, 2, 3, 4, 5, 6, 7, 8, 9 gives unit digit as 6 in (16y4)n.
But, y = 5, gives unit digit 0 in (16 y4)n.
Hence, the unit digit is 0 or 6."
200,"If m and n are positive integers, then the digit in
the unit's place of 5n + 6m is always",1,5,6,n + m,a,"In 5n we have 5 as unit digit and in 6m we have 6 as unit
digit.
\ Unit digit in (5n + 6m) = Unit digit in (5 + 6) = Unit
digit in 11 = 1."
201,"The number formed from the last two digits (ones
and tens) of the expression 212n – 64n, where n is
any positive integer is
(S.S.C., 2005)",10,00,30,02,b,"We have: (212n – 64n) = (212n – 24n × 34n) = 24n (28n – 34n).
Putting n = 1, we get the number 24 (28 – 34)
= 16 (256 – 81) = (16 × 175) = 2800
Hence, the number formed by last two digits is 00."
202,"The last digit in the decimal representation of
2000


1

5",2,,5,,d,"
 =

1
5
2000
(0.2)2000.
Last digit of (0.2)2000 = Last digit of (0.2)4 = 6."
208,"Which of the following numbers is not divisible by
18?",34056,50436,54036,65043,d,"We have 18 = 2 × 9, where 2 and 9 are co-primes.
But, 65043 is not divisible by 2. So, it is not divisible by"
209,The number 89715938* is divisible by,,,,,c,
4,"The unknown
non-zero digit marked as * will be",2,3,4,6,d,"Difference between the place values of 7 and 3 in given
numeral = (7000 – 30) = 6970."
210,"Which one of the following numbers is divisible by
3?",4006020,2345678,2876423,9566003,a,"Sum of the digits in 4006020 is 12, which is divisible by"
211,"A number is divisible by 11 if the difference between
the sums of the digits in odd and even places
respectively is",a multiple of 3,a multiple of 5,zero or a multiple of 7,zero or a multiple of 11,d,"Clearly, (d) is true."
212,"Which one of the following numbers is divisible by
11?",4823718,4832718,8423718,8432718,b,"For 4823718 we have
(8 + 7 + 2 + 4) – (1 + 3 + 8) = (21 – 12) = 9, which is not
a multiple of 11.
\ 4823718 is not divisible by 11.
Consider the number 4832718.
We have (8 + 7 + 3 + 4) – (1 + 2 + 8) = (22 – 11) = 11,
which is a multiple of 11.
Hence, 4832718 is divisible by 11."
213,"Which one of the following numbers is divisible by
15?
is (Hotel Management, 2009)",17325,4,29515,6,a,"Consider the number 17325.
Its unit digit is 5. So, it is divisible by 5.
Sum of its digits = (5 + 2 + 3 + 7 + 1) = 18, which is
divisible by 3.
So, the given number is divisible by 3.
And, since 5 and 3 are co-primes, so the given number is
divisible by (5 × 3), i.e. 15."
203,"Let x be the product of two numbers
3,659,893,456,789,325,678 and 342,973,489,379,",,,,,b,"Sum of digits in the two numbers = 19 + 15 = 34.
So, the product will have 33 or 34 digits.
Since 36 × 34 = 1224 (i.e. product has 2 + 2 = 4 digits),
so the number of digits in x is 34."
256,"The number of digits in x is
(A.A.O., 2010)",32,34,35,36,d,"Clearly, 2525 is not divisible by any of the numbers 7, 11
and 13.
The smallest 3-digit prime number is 101.
25
101 2525
202
505
505
×
32
101 3232
303
202
202
×
Hence (d) is true."
204,"Let a number of three digits have for its middle
digit the sum of the other two digits. Then it is a
multiple of (C.P.F., 2008)",10,11,18,50,b,"We know that a number having x,y,z as its digits, is a
multiple of 11, if z + x – y = 0
Hence, y = z + x."
205,"What least value must be given to n so that the number
6135n2 becomes divisible by 9?",1,2,3,4,a,"6135n2 is divisible by 9 if (6 + 1 + 3 + 5 + n + 2) = (17 + n)
is divisible by 9.
This happens when the least value of n is 1."
206,"Find the multiple of 11 in the following numbers.
(R.R.B., 2006)",112144,447355,869756,978626,d,"In 978626, we have (6 + 6 + 7) – (2 + 8 + 9) = 0.
Hence, 978626 is completely divisible by 11."
207,"111,111,111,111 is divisible by",3 and 37 only,"3, 11 and 37 only","3, 11, 37 and 111 only","3, 11, 37, 111 and 1001",d,"Sum of all digits = 12, which is divisible by 3. So, the
given number is divisible by 3.
(Sum of digits at odd places) – (Sum of digits at even
places) = 6 – 6 = 0.
So, the given number is divisible by 11.
The given number when divided by 37 gives 3003003003.
So, the given number is divisible by 37.
The given number when divided by 111 gives 1001001001.
Clearly, it is divisible by 111 as well as by 1001.
Hence, the given number is divisible by each one of 3,
11, 37, 111 and 1001."
214,7386038 is divisible by,3,4,9,11,d,"Given number is 7386038.
Sum of its digits = 35, which is not divisible by any of 3
and 9.
So, the given number is not divisible by any of 3 and 9.
Also, 38 is not divisible by 4. So, the given number is not
divisible by 4.NUMBER SYSTEM
41
Also, (8 + 0 + 8 + 7) – (3 + 6 + 3) = (23 – 12) = 11.
So, the given number is divisible by 11."
215,"Consider the following statements:
The numbers 24984, 26784 and 28584 are
(1) divisible by 3
(2) divisible by 4
(3) divisible by 9
Which of these are correct?",1 and 2,2 and 3,1 and 3,"1, 2 and 3",d,"(2 + 4 + 9 + 8 + 4) = 27, (2 + 6 + 7 + 8 + 4) = 27 and (2
+ 8 + 5 + 8 + 4) = 27.
So, each one is divisible by 3 and 9 both.
Also, 84 is divisible by 4. So, each one is divisible by 4.
Hence, each given number is divisible by 3, 9 and 4.
So, the statements 1, 2 and 3 are all correct."
216,"Which of the following numbers is a multiple of 8?
(L.I.C.A.D.O., 2008)",923872,923972,923862,923962,a,"We know that 872 is divisible by 8. Hence 923872 is
divisible by 8."
217,"If 78*3945 is divisible by 11, where * is a digit, then
* is equal to",0,1,3,5,d,"Here (5 + 9 + x + 7) – (4 + 3 + 8) = 6 + x. So, we must
have x = 5."
218,"If m and n are integers divisible by 5, which of the
following is not necessarily true?",m + n is divisible by 10,m – n is divisible by 5,m2 – n2 is divisible by 25,None of these,a,"Take m = 15 and n = 20. Then, each one of m and n is
divisible by 5. But, (m + n) is not divisible by 10.
Hence, (m + n) is divisible by 10 is not true."
219,"An integer is divisible by 16 if and only if its last X
digits are divisible by",,,,,b,"An integer is divisible by 16, if the number formed by
last 4 digits is divisible by 16."
16,"The value of X would be24
QUANTITATIVE APTITUDE",3,4,5,6,b,"We can write 9 = (1 + 8) ; 9 = (2 + 7) ;
9 = (3 + 6), 9 = (4 + 5).
Thus, it can be done in 4 ways."
220,"Which of the following numbers is divisible by 3,
7, 9 and 11?",639,2079,3791,37911,b,"Clearly, 639 is not divisible by 7.
Consider 2079. Sum of its digits = (2 + 0 + 7 + 9) = 18.
So, it is divisible by both 3 and 9.
Also, (79 – 2) = 77, which is divisible by 7.
So, 2079 is divisible by 7.
Also, (9 + 0) – (7 + 2) = 0. So, 2079 is divisible by 11.
Hence, 2079 is divisible by each one of 3, 7, 9 and 11."
221,A number 476**0 is divisible by both 3 and,,,,,c,"Let the given number be 476xy0. Then
(0 + x + 7) – (y + 6 + 4) = 0 ⇒ x – y – 3 = 0 ⇒ x – y = 3.
Also, (4 + 7 + 6 + x + y + 0) = (17 + x + y) must be
divisible by 3.
Since x ≠ 0, y ≠ 0, so x + y ≠ 1.
\ x + y = 4 or 7 or 10 etc.
(x + y = 4 and x – y = 3) ⇒ x = 7/2, which is not admissible.
(x + y = 7 and x – y = 3) ⇒ x = 5 and y = 2."
11,"The non-zero digits in the hundred's and ten's place
respectively are","7, 4","5, 3","5, 2",None of these,b,"Clearly, there exists a smallest natural number, namely 1.
So statement (1) is true.
Natural numbers are counting numbers and the counting
process never ends. So, the largest nature number is not
known. Thus, statement (2) is false.
Thre is no natural number between two consecutive natural
numbers. So, statement (3) is false."
222,"How many of the following numbers are divisible
by 3 but not by 9?
2133, 2343, 3474, 4131, 5286, 5340, 6336, 7347, 8115,
9276",5,6,7,None of these,b,"Sum of the digits in respective numbers is:
9, 12, 18, 9, 21, 12, 18, 21, 15 and 24.
Out of these 12, 21, 12, 21, 15, 24 are divisible by 3 but
not by 9.
So, the number of required numbers is 6."
223,"If the number 357*25* is divisible by both 3 and 5,
then the missing digits in the unit's place and the
thousandth's place respectively are","0, 6","5, 1","5, 4",,d,"Let the unit's place be x and the thousand's place be y.
Then, 357y25x is divisible by 5 only when x = 0 or x = 5.
Also, this number is divisible by 3 only when sum of its
digits is divisible by 3.
So, (22 + x + y) must be divisible by 3.
\ x + y = 2
Taking x = 0, we get y = 2.
So, the unit place = 0 and thousand's place = 2."
224,6897 is divisible by,11 only,19 only,both 11 and 19,neither 11 nor 19,c,"Clearly, (7 + 8) – (9 + 6) = 0. So, 6897 is divisible by 11.
Also,
6897
19
= 363 . So, 6897 is divisible by 19.
Hence, 6897 is divisible by both 11 and 19."
225,"Which of the following numbers is exactly divisible
by 24?",35718,63810,537804,3125736,d,"We have 24 = 3 × 8, where 3 and 8 are co-primes.
Clearly, 718 is not divisible by 8. So, 35718 is not divisible
by 8.
810 is not divisible by 8. So, 63810 is not divisible by 8.
804 is not divisible by 8. So, 537804 is not divisible by 8.
736 is divisible by 8. So, 3125736 is divisible by 8.
Also, sum of its digits = (3 + 1 + 2 + 5 + 7 + 3 + 6) = 27,
which is divisible by 3.
So, 3125736 is divisible by 3 also.
Hence, it is divisible by 24."
226,The number 311311311311311311311 is,neither divisible by 3 nor by 11,divisible by 11 but not by 3,divisible by 3 but not by 11,divisible by both 3 and 11,a,"Sum of the digits of the given number = (7 × 3) + (14 ×
1) = (21 + 14) = 35, which is not divisible by 3.
So the given number is not divisible by 3.
Also, (1 + 3 + 1 + 1 + 3 + 1 + 1 + 3 + 1 + 1 + 3) – (1 +
1 + 3 + 1 + 1 + 3 + 1 + 1 + 3 + 1) = (19 – 16) = 3, which
is neither 0 nor divisible by 11.
So, the given number is not divisible by 11 also.
Hence, it is divisible by neither 3 nor 11."
227,325325 is a six-digit number. It is divisible by,7 only,11 only,13 only,"all 7, 11 and 13",d,"(325 – 325) = 0, which is divisible by 7.
So, the given number is divisible by 7.
(5 + 3 + 2) – (2 + 5 + 3) = 0. So, the given number is
divisible by 11.
And,
325325
13
= 25025. So, 325325 is divisible by 13.
Hence, it is divisible by all 7, 11 and 13."
228,"If the seven-figure number 30X0103 is a multiple of
13, then X is",1,6,7,8,d,"We first divide the number into groups of 3 digits from
the right → 3 0X0 103
Difference of sum of numbers at odd and even places =
(103 + 3) – 0X0 = 106 – 0X0, which must be divisible by 13.
106 – 0X0 is divisible by 13 only for X = 8."
229,"If a number is divisible by both 11 and 13, then it
must be necessarily
(11 × 13)
(11 + 13) (13 – 11)",429,divisible by,divisible by,divisible by,b,"We know that 11 and 13 are co-prime.
So, a number divisible by both 11 and 13 will be divisible
by (11 × 13)."
230,"Which of the following numbers are completely
divisible by 7?
I. 195195
III. 120120
(e) All are divisible
II. 181181
IV. 891891",Only I and II,Only II and III,Only I and IV,Only II and IV,,"I. We have(195 – 195) 0
\ 195195 is divisible by 7.
II. We have (181 – 181) = 0
\ 181181 is divisible by 7.
III. We have (120 – 120) = 0
\ 120120 is divisible by 7.
IV. We have (891 – 891) = 0
\ 891891 is divisible by 7.
Hence, all are divisible by 7."
231,"If x and y are two digits of the number 653xy such
that the number is divisible by 80, then x + y is
equal to",3,4,5,6,d,"Since 653xy is divisible by 80, we must have y = 0.
Now, 653x0 must be divisible by both 5 and 16.
Clearly, it is divisible by 5 for all values of x.
Now, the number 53x0 must be divisible by 16.
The least value of x is clearly 6. So, x + y = 6 + 0 = 6."
232,"The six-digit number 5ABB7A is a multiple of 33
for non-zero digits A and B. Which of the following
could be possible value of A + B? (A.A.O. Exam, 2010)",8,9,10,14,b,"We know that 33 = 11 × 3, where 11 and 3 are co-primes.
So, the given number must be divisible by both 11 and 3.
Since 5ABB7A is divisible by 11, we have
(A + B + A) – (7 + B + 5) = (2A – 12) is either 0 or 11.
⇒ 2A – 12 = 0 or 2A – 12 = 11 ⇒ A = 6 A≠



23
2
So, the number becomes 56BB76, which is divisible by 3.
\ (5 + 6 + B + B + 7 + 6) = (24 + 2B) must be divisible
by 3.

\ 2B = 6 ⇒ B = 3 


BB
≠≠
0 and
2
Hence, (A + B) = (6 + 3) = 9."
233,Which of the following numbers is divisible by 99?,114345,913464,135792,3572404,a,"We have, 99 = (11 × 9), where 11 and 9 are co-primes.
Consider the number 114345.
Clearly, (5 + 3 + 1) – (4 + 4 + 1) = 0. So, 114345 is divisible
by 11.
Also, sum of its digits = (1 + 1 + 4 + 3 + 4 + 5) = 18,
which is divisible by 9.
\ 114345 is divisible by 9.
Hence, it is divisible by (11 × 9), i.e. 99."
234,"The digits indicated by * in 3422213** so that this
number is divisible by 99 are
(R.R.B., 2010)","1, 9","3, 7","4, 6","5, 5",a,"Let the unit's digit be x and ten's digit be y. Then, the
number is 3422213yx.
Also, 99 = (11 × 9), where 11 and 9 are co-primes.
Since the given number is divisible by 9, it follows that
(3 + 4 + 2 + 2 + 2 + 1 + 3 + y + x) = (17 + y + x) must
be divisible by 9.
So, y + x = 1 or y + x = 10.
342
QUANTITATIVE APTITUDE
Again, the given number is divisible by 11.
So, (x + 3 + 2 + 2 + 3) – (y + 1 + 2 + 4) = x – y + 3 is
either 0 or 11.
\ (x – y + 3 = 0 or x – y + 3 = 11) ⇒ (y – x = 3 or x – y
= 8)
Now, (y + x = 1 and y – x = 3) ⇒ y = 2 and x = – 1.
(y + x = 1 and x – y = 8) ⇒ x =
9
2
.
(y + x = 10 and y – x = 3) ⇒ y =
13
2
.
(y + x = 10 and x – y = 8) ⇒ x = 9 and y = 1.
Thus, x = 9, y = 1. So, the required number is 342221319."
235,"If 37X3 is a four-digit natural number divisible by
7, then the place marked as X must have the value",0,3,5,9,a,"37 × 3 is divisible by 7
⇒ (7 × 3 – 3) is either 0 or divisible by 7)
⇒ 7 × 0 is divisible by 7.
⇒ X = 0 or X = 7."
236,"If the seven-digit number 876p37q is divisible by
225, then the values of p and q respectively are",0 and 0,9 and 0,0 and 5,9 and 5,c,"225 = 9 × 25, where 9 and 25 are co-primes.
So, a number is divisible by 225 if it is divisible by both
9 and 25.
Given number is divisible by 25, only if 7q is divisible by
25, i.e. if q = 5.
Sum of digits of given number = (8 + 7+ 6 + p + 3 + 7 + 5) =
36 + p, which must be divisible by 9.
This is possible if p = 0.
Hence, p = 0, q = 5."
237,"If a number 774958A96B is divisible by 8 and 9, the
respective values of A and B will be",5 and 8,7 and 8,8 and 0,None of these,c,"Since 774958A96B is divisible by 8, so the number 96B
must be divisible by 8. So, B = 0, as 960 is divisible by 8.
Now, 774958A960 is divisible by 9. So, (55 + A) must be
divisible by 9.
This happens when A = 8. Hence, A = 8 and B = 0."
238,"How many of the following numbers are divisible
by 132?
264, 396, 462, 792, 968, 2178, 5184, 6336",4,5,6,7,a,"132 = 11 × 3 × 4. So, the required number must be divisible
by 3, 4 and 11.
264 → divisible by 3, 4 and 11.
396 → divisible by 3, 4 and 11.
462 → not divisible by 4.
792 → divisible by 3, 4 and 11.
968 → not divisible by 3
2178 → not divisible by 4
5184 → not divisible by 11.
6336 → divisible by 3, 4 and 11.
Hence, out of the given numbers 4 are divisible by 3, 4
and 11."
239,"If x and y are positive integers such that (3x + 7y)
is a multiple of 11, then which of the following is
also a multiple of 11?",5x – 3y,9x + 4y,4x + 6y,x + y + 6,a,"Let 3x + 7y = 11k. Then, y =
k
(11 – 3 )
7
k
x
.
Then, 5x – 3y = 5x –
3 (11 – 3 ) 35 – 33 9
7
x
=
7
44 – 33 11 (4 – 3 )
x k xk
=
=
77
, which is divisible by 11."
240,"If n be any natural number then by which largest
number (n3 – n) is always divisible?
(S.S.C., 2010)",3,6,12,18,b,"(13 – 1) = 0, (23 – 2) = 6, (33 – 3) = 24, (43 – 4) = 60 and
so on, each one of which is divisible by 6."
241,"If a and b are two odd positive integers, by which of
the following integers is (a4 – b4) always divisible?
(S.S.C., 2010)",3,6,8,12,c,"Let a = 2k + 1 & b = 2m + 1. Then,
a4 – b4 = (a2 – b2) (a2 + b2) = (a + b) (a – b) (a2 + b2)
= (2k + 2m + 2) (2k – 2m) (4k2 + 4m2 + 2 + 4k + 4m)
= 8(k + m + 1) (k – m) (2k2 + 2m2 + 1 + 2k + 2m),
which is divisible by 8."
242,"The difference between the squares of any two
consecutive integers is equal to",an even number,difference of given numbers,sum of given numbers,"product of given numbersNUMBER SYSTEM
25",c,"Let the two consecutive integers be a and (a + 1). Then,
(a + 1)2 – a2 = a2 + 1 + 2a – a2 = (2a + 1) = (a + a + 1) =
sum of given integers.
x k + x"
243,"The number 6n2 + 6n for natural number n is always
divisible by (M.A.T., 2007)",6 only,6 and 12,12 only,18 only,b,"6n2 + 6n = 6n (n + 1)
(n = 1 ⇒ 6n2 + 6n = 12), (n = 2 ⇒ 6n2 + 6n = 36), (n = 3
⇒ 6n2 + 6n = 72),
each one of which is divisible by 6 and 12 both."
244,"The difference of a number consisting of two digits
and the number formed by interchanging the digits
is always divisible by",5,7,9,11,c,"Let the ten's digit be x and the unit's digit be y. Then, (10x
+ y) – (10y + x) = 9x – 9y = 9(x – y), which is divisible by 9."
245,"The sum of a number consisting of two digits and
the number formed by interchanging the digits is
always divisible by",7,9,10,11,d,"Let the ten's digit be x and the unit's digit be y.
Then, (10x + y) + (10y + x) = 11(x + y), which is divisible
by 11.NUMBER SYSTEM
43"
246,"The largest natural number, which exactly divides
the product of any four consecutive natural numbers,
is (S.S.C., 2007)",6,12,24,120,c,"Let P = n (n + 1) (n + 2) (n + 3). Then, n = 1 gives
P = (1 × 2 × 3 × 4) = 24.
Hence, the required number is 24."
247,"If n is a whole number greater than 1, then
n2 (n2 – 1) is always divisible by",8,10,12,16,c,"Let N = n2 (n2 – 1) = n2 (n – 1) (n + 1).
Then, n = 2 ⇒ N = 22 × (2 – 1) × (2 + 1) = (4 × 1 × 3) = 12.
Hence, the required number is 12."
248,"If n is any odd number greater than 1, then
n (n2 – 1) is",divisible by 24 always,divisible by 48 always,divisible by 96 always,None of these,a,"Let n = (2m + 1). Then,
N = n(n2 – 1) = n (n – 1) (n + 1) = (2m + 1) (2m) (2m + 2)
= 4m (m + 1) (2m + 1).
Now, m = 1 ⇒ N = (4 × 1 × 2 × 3) = 24.
So, N is always divisible by 24."
249,"The sum of the digits of a 3-digit number is subtracted
from the number. The resulting number is always",not divisible by 9,divisible by 9,not divisible by 6,divisible by 6,b,"Let the hundreds, tens and unit digits be x, y and z
respectively.
Then, (100x + 10y + z) – (x + y + z) = 99x + 9y = 9 (11x
+ y).
So, the resulting number is divisible by 9."
250,"A number is multiplied by 11 and 11 is added to
the product. If the resulting number is divisible by
13, the smallest original number is",12,22,26,53,a,"Let the required number be x. Then
11 11
x +
number.
13
So, (11x + 11) must be divisible by 13. By hit and trial,
we get x = 12.
Hence, the smallest original number is 12."
251,"The product of any three consecutive natural
numbers is always divisible by",3,6,9,15,b,"Let the required product be n (n + 1) (n + 2). Then,
n = 1 ⇒ n (n + 1) (n + 2) = (1 × 2 × 3) = 6.
n = 2 ⇒ n (n + 1) (n + 2) = (2 × 3 × 4) = 24.
n = 3 ⇒ n (n + 1) (n + 2) = (3 × 4 × 5) = 60.
So, each such product is divisible by 6."
252,"The sum of three consecutive odd numbers is always
divisible by
I. 2
III. 5",Only I,Only II,"Only I and II
II. 3
IV. 6",Only I and III,b,"Let the required odd numbers be n, (n + 2) and (n + 4).
Then n + (n + 2) + (n + 4) = 3n + 6 = 3(n + 2), which is
always divisible by 3.
But n = 1 ⇒ 3(n + 2) = 3 × 3 = 9 which is not divisible
by any of 2, 5 and 6.
Hence only II is true."
253,"The greatest number by which the product of three
consecutive multiples of 3 is always divisible is",54,81,162,243,c,"Three consecutive multiples of 3 are 3m, 3(m + 1) and
3(m + 2).
Their product = 3m × 3(m + 1) × 3(m + 2) = 27 × m × (m
+ 1) × (m + 2).
Putting m = 1, this product is (27 × 1 × 2 × 3) = 162.
So, this product is always divisible by 162."
254,"If p is a prime number greater than 3, then (p2 – 1)
is always divisible by",6 but not 12,12 but not 24,24,None of these,c,"p = 5 ⇒ (p2 – 1) = (25 – 1) = 24, which is divisible by 24.
p = 7 ⇒ (p2 – 1) = (49 – 1) = 48, which is divisible by 24.
p = 11 ⇒ (p2 – 1) = (121 – 1) = 120, which is divisible by 24.
Hence, (p2 – 1) is always divisible by 24."
255,"The difference between the squares of two
consecutive odd integers is always divisible by",3,6,7,8,d,"Let the two consecutive odd integers be (2m + 1) and
(2m + 3).
Then, (2m + 3)2 – (2m + 1)2 = [(2m + 3) + (2m + 1)] [(2m
+ 3) – (2m + 1)] = (4m + 4) × 2 = 8m + 8 = 8(m + 1), which
is always divisible by 8.
= a whole"
256,"A 4–digit number is formed by repeating a 2–digit
number such as 2525, 3232 etc. Any number of this
form is exactly divisible by
(S.S.C., 2005, 2010)",7,11,13,Smallest 3–digit prime number,d,"Clearly, 2525 is not divisible by any of the numbers 7, 11
and 13.
The smallest 3-digit prime number is 101.
25
101 2525
202
505
505
×
32
101 3232
303
202
202
×
Hence (d) is true."
257,"A 6-digit number is formed by repeating a 3-digit
number; for example, 256256 or 678678 etc. Any
number of this form is always exactly divisible by",7 only,11 only,13 only,1001,d,"Numbers like 2525, 3636 etc. are divisible by 101.
Numbers like 256256, 678678 etc. are divisible by 1001.
Numbers like 32163216, 43754375 etc. are divisible by
10001 and so on."
258,"The sum of the digits of a natural number (10n – 1)
is 4707, where n is a natural number. The value of
n is (Hotel Management, 2010)",477,523,532,704,b,"10n has (n + 1) digits. Then, 9 will appear n times in (10n – 1).
So, sum of digits in (10n – 1) = 9n.
\ 9n = 4707 ⇒ n =
4707
9
= 523."
259,(xn – an) is divisible by (x – a),for all values of n,only for even values of n,only for odd values of n,only for prime values of n,a,"We know that (xn – an) is always divisible by (x – a) for
all values of n."
260,"Which one of the following is the number by which
the product of 8 consecutive integers is divisible?
(e) All of these",4 !,6 !,7 !,8 !,,"The product of 8 consecutive numbers is divisible by each
one of 8!, 7!, 6!, 5!, 4!, 3! and 2!"
261,"Consider the following statements:
For any positive integer n, the number 10n – 1 is
divisible by
(1) 9 for n = odd only
(2) 9 for n = even only
(3) 11 for n = odd only (4) 11 for n = even only
Which of the above statements are correct?",1 and 3,2 and 3,1 and 4,2 and 4,d,"We know that (xn – an) is divisible by (x – a), when n is
even and (xn – an) is divisible by (x + a), when n is even.
\ (10n – 1) is divisible by (10 – 1) = 9, when n is even.
And, (10n – 1) is divisible by (10 + 1) = 11, when n is even.
\ Statements 2 and 4 are correct."
262,"If n is any positive integer, 34n – 43n is always divisible
by",7,12,17,145,c,"Putting n = 1, we get (34n – 43n) = (34 – 43) = (81 – 64) = 17,
which is divisible by 17."
263,"If the square of an odd natural number is divided
by 8, then the remainder will be",1,2,3,4,a,"Let the odd natural number be (2n + 1).
n = 1 gives (2n + 1)2 = (2 + 1)2 = 9.
This when divided by 8 gives 1 as remainder.
n = 2 gives (2n + 1)2 = 25.
This when divided by 8 gives 1 as remainder and so on."
264,"The largest number that exactly divides each number
of the sequence 15 – 1, 25 – 2, 35 – 3, ..., n5 – n,.... is",1,15,30,120,c,Required number = (25 – 2) = (32 – 2) = 30.
